id,active,short_name,name,agency,category,listing,value_kind,source,summary,receive,website,apply_url,phone,timeline,cost,income_guideline,how_to_apply,notes,documents,max_fpl,child_under,min_children,min_children_age_max,min_age,needs_veteran,needs_disabled,needs_pregnant_or_child,needs_renting,needs_working,tribal,states,verify,award_formula,award_amount,urgent,deadline_days,image
career-gear,TRUE,Gear,Career Gear,"Career Gear, Inc.",Goods,benefit,one-time,nonprofit,Interview attire and follow-up career support.,Interview attire and follow-up career support.,https://www.careergear.org,https://www.careergear.org,See website,Depends on affiliate calendar.,Free to clients.,Low-income job seekers.,Partner-agency referral.,"If no Career Gear nearby, ask the American Job Center / EDD and 211 for a men's clothing closet.",Referral,,,,,,,,,,TRUE,,,,zero,,,,/images/goods.jpg
clothing-closets,TRUE,Closet,Goodwill / Salvation Army / local clothing closets,"Goodwill Industries, Salvation Army, churches, school closets",Goods,benefit,one-time,nonprofit,"Clothing, shoes, sometimes household goods.","Clothing, shoes, sometimes household goods. Seasonal coat programs (One Warm Coat and local drives) in winter.",https://www.211.org,https://www.211.org,211,Same day.,"Free at closets. Thrift purchases are low-cost, not free.",Need-based.,Call 211 and ask for a clothing closet. School counselors often have closets for students.,One Warm Coat (onewarmcoat.org) organizes free winter-coat distributions through local partners.,Photo ID and proof of address at many sites,,,,,,,,,,,,,,zero,,,,/images/goods.jpg
new-eyes,TRUE,Eyes,New Eyes (prescription eyeglasses),New Eyes for the Needy,Vision,benefit,one-time,nonprofit,One basic pair of glasses + shipping.,"One basic pair of glasses + shipping. Paid upgrades (progressives, tints, blue-light) available out of pocket.",https://new-eyes.org,https://new-eyes.org/application,973-376-4903 | info@new-eyes.org,Email response often within 1 business day; glasses after approval and order (1–3 weeks typical).,Small non-refundable application fee (recently $15) for admin costs. Glasses themselves are free if approved.,"≤250% FPL or proof of need (SNAP, unemployment, tax return, etc.).",Best: a social worker applies on your behalf. Individuals may apply directly. Small non-refundable application fee.,"Get a current exam + PD first (Medicaid/Medi-Cal, free clinic, Lions, or Vision USA). New Eyes is glasses, not surgery or contacts.",Prescription with PD; proof of income/need,250,,,,,,,,,,,,,zero,,,,/images/vision.jpg
lions,TRUE,Lions,Lions Clubs International (local eye care & glasses),Lions Clubs International + local clubs,Vision,benefit,one-time,nonprofit,"Varies by club: exam, frames/lenses, surgery referral, recycled-glasses programs.","Varies by club: exam, frames/lenses, surgery referral, recycled-glasses programs.",https://www.lionsclubs.org,https://www.lionsclubs.org/en/start-our-approach/club-locator,630-571-5466 or local club,Weeks to a few months. Clubs meet monthly and funds are limited.,Free to applicant when approved.,Locally defined; commonly around 200% FPL.,"Use the Lions club locator, then call or email the local club's sight chair. A caseworker referral helps.",Also used as the referring nonprofit for some OneSight / Luxottica voucher programs at LensCrafters or Target Optical.,ID; proof of residence and income; recent prescription or need for an exam,200,,,,,,,,,,,,,zero,,,,/images/vision.jpg
vsp-eyes,TRUE,VSP,VSP Eyes of Hope / Sight for Students,VSP Vision,Vision,benefit,one-time,nonprofit,Eye exam + glasses at a VSP provider.,Eye exam + glasses at a VSP provider.,https://www.vsp.com/eyes-of-hope,https://www.vsp.com/eyes-of-hope,Sight for Students: 1-888-290-4964,Depends on partner voucher inventory; often 2–6 weeks.,Free to approved patients.,Household income limits set by VSP (low-income / uninsured).,"Ask a school nurse, social worker, or community partner to request a voucher. Individuals generally cannot apply solo on the public website.",Start with the school nurse for kids. Adults should try Lions + New Eyes in parallel.,Partner referral; proof of no insurance and income,200,,,,,,,,,,,,,zero,,,,/images/vision.jpg
prevent-blindness,TRUE,NEI,Prevent Blindness & NEI free/low-cost care directory,Prevent Blindness,Vision,directory,one-time,nonprofit,Referrals; some affiliates run clinics.,Referrals; some affiliates run clinics.,https://www.nei.nih.gov/eye-health-information/healthy-vision/finding-eye-doctor/get-free-or-low-cost-eye-care,https://preventblindness.org,Prevent Blindness 1-800-331-2020,Varies.,Free information; services free or low-cost if accepted.,Typically low-income / uninsured.,Use NEI's free-care page and Prevent Blindness local affiliates.,"Mission Cataract USA and Operation Sight are for cataract surgery, not routine glasses.",Program-specific,,,,,,,,,,,,,,zero,,,,/images/vision.jpg
medi-cal,TRUE,Medi-Cal,Medicaid / Medi-Cal,HHS CMS,Health,benefit,monthly,federal,Comprehensive medical coverage.,"Comprehensive medical coverage. May include vision, dental, non-emergency medical transportation, and long-term care depending on state and category.",https://www.medicaid.gov,https://www.healthcare.gov,1-800-318-2596. CA Medi-Cal: 1-800-541-5555,45 days standard (90 for disability determinations). Emergency coverage faster.,Free or very low premiums/copays.,138% FPL for ACA-expansion adults. Children and pregnant people have higher caps via CHIP/Medicaid.,HealthCare.gov or state portal. California: BenefitsCal or CoveredCA. Retroactive coverage possible.,Apply even if you think you earn a little too much—deductions and household rules surprise people. Kids in mixed-status families can often get coverage.,IDs; SSNs/immigration docs; income (pay stubs; taxes); residency,160,,,,,,,,,,,,residency,medi-cal,,,,/images/health.jpg
chip,TRUE,CHIP,Children's Health Insurance Program (CHIP),State Medicaid/CHIP agencies,Health,benefit,monthly,federal,"Comprehensive child health coverage, usually including dental and vision.","Comprehensive child health coverage, usually including dental and vision.",https://www.insurekidsnow.gov,https://www.insurekidsnow.gov,1-877-KIDS-NOW (1-877-543-7669),Similar to Medicaid (weeks).,Free or small premium depending on income and state.,State-specific; higher than adult Medicaid.,Same application as Medicaid (HealthCare.gov / BenefitsCal).,Always apply for children even if parents are over-income for Medi-Cal.,Same as Medicaid application,250,,1,19,,,,,,,,,,chip,,,,/images/health.jpg
benefits-gov,TRUE,Finder,Benefits.gov Benefit Finder,U.S. General Services Administration / partner agencies,Help,directory,one-time,federal,Personalized list of programs and links to apply.,Personalized list of programs and links to apply.,https://www.benefits.gov,https://www.benefits.gov/benefit-finder,See each program listed,10–20 minutes for the quiz.,Free.,N/A — screening tool.,Answer questions at Benefits.gov.,Best official starting point together with 211 and your state benefits portal.,None for the quiz,,,,,,,,,,,,,,zero,,,,/images/help-line.jpg
uw211,TRUE,211,211 (United Way),Local 211 providers,Help,directory,one-time,nonprofit,"Live referral to real local programs, including ones too small to appear in national lists.","Live referral to real local programs, including ones too small to appear in national lists.",https://www.211.org,https://www.211.org,211,Immediate referral. The underlying program then has its own wait.,Free.,N/A.,"Dial 211, text your ZIP to 898211 in many areas, or search 211.org.","Call again if your situation changes. Ask the specialist to screen for ALL basic-needs programs, not just the one you mentioned.",None,,,,,,,,,,,,,,zero,,,,/images/help-line.jpg
findhelp,TRUE,findhelp,findhelp.org (Aunt Bertha),findhelp (Aunt Bertha),Help,directory,one-time,nonprofit,Self-serve directory with program phone numbers and websites.,Self-serve directory with program phone numbers and websites.,https://www.findhelp.org,https://www.findhelp.org,Listed per program,Immediate search.,Free.,N/A.,Enter your ZIP at findhelp.org.,Good backup when 211 hold times are long. Confirm the program is still open before traveling there.,None for search,,,,,,,,,,,,,,zero,,,,/images/help-line.jpg
benefitscal,TRUE,BenefitsCal,BenefitsCal (California combined application),California Department of Social Services / counties,Help,directory,one-time,state,Single door for the big three California safety-net programs.,Single door for the big three California safety-net programs.,https://www.benefitscal.com,https://www.benefitscal.com,County TAD. Statewide CalFresh: 1-877-847-3663,Same as the underlying programs (7–45 days).,Free.,Per each program.,Create an account at BenefitsCal.com. You can also apply in person at the San Bernardino County Transitional Assistance Department.,"After submitting, watch your BenefitsCal messages and mail. Upload documents quickly to avoid delay.",ID; SSNs; income; rent; immigration docs; pregnancy/child info,,,,,,,,,,,,CA,,zero,,,,/images/help-line.jpg
vita,TRUE,VITA,IRS VITA / TCE free tax preparation,IRS + local nonprofits / AARP Foundation Tax-Aide,Tax,benefit,annual,federal,Accurate free return and faster access to refundable credits.,Accurate free return and faster access to refundable credits.,https://www.irs.gov/individuals/free-tax-return-preparation-for-qualifying-taxpayers,https://irs.treasury.gov/freetaxprep/,1-800-906-9887,Appointment during tax season; refund per IRS calendar.,Free. Never pay a VITA site.,VITA income cap set annually.,IRS VITA locator or AARP Tax-Aide locator.,"Bring photo ID, SSNs, W-2s, 1099s, last year's return, and bank account for direct deposit.",Photo IDs; SSNs/ITIN letters; income forms; dependent proof,250,,,,,,,,,TRUE,,,,zero,,,,/images/tax-credit.jpg
needhelppayingbills,TRUE,NHPB,NeedHelpPayingBills.com (independent directory),Independent consumer-aid website,Help,directory,one-time,nonprofit,Lists and explainers; no money from the site itself.,Lists and explainers; no money from the site itself.,https://www.needhelppayingbills.com,https://www.needhelppayingbills.com,N/A — use listed agency phones,Immediate reading.,Free to use.,N/A.,Browse by state or need.,Not a government site. Cross-check any phone number or application link on an official .gov or known nonprofit domain before sharing personal data.,None,,,,,,,,,,,,,,zero,,,,/images/help-line.jpg
gift-card-myth,TRUE,Myth,No national 'free gift card' entitlement program,"Various local churches, United Ways, disaster agencies, schools",Goods,advisory,one-time,federal,Occasional $25–$100 cards when a local program is funded.,Occasional $25–$100 cards when a local program is funded.,https://www.211.org,https://www.211.org,211,Same week when a local fund exists.,Free. Anyone asking you to pay or to 'verify' with a gift card is a scammer.,Need-based.,"Ask 211, a school family-resource liaison, your CAA, or a church benevolence office. Do not fill out random 'free Walmart card' forms online.",Treat every social-media 'government gift card' ad as a scam unless it originates from a known local agency you can call back on a published number.,Local program rules,,,,,,,,,,,,,,zero,,,,/images/goods.jpg
free-house-myth,TRUE,Myth,No national 'free house' giveaway,N/A — reality check,Housing,advisory,one-time,nonprofit,"Real options are rental subsidies (Section 8), public housing, Habitat sweat-equity mortgages, USDA rural loans, and foreclosure/rehab programs—not free title.","Real options are rental subsidies (Section 8), public housing, Habitat sweat-equity mortgages, USDA rural loans, and foreclosure/rehab programs—not free title.",https://www.hud.gov/helping-americans/,https://www.hud.gov/program_offices/public_indian_housing/pha/contacts,HUD 1-800-955-2232,Years for deeply subsidized housing in high-cost areas such as Southern California.,Legitimate housing programs never charge an application fee to get on a PHA list.,See housing rows.,"Use HUD PHA contacts, Habitat, USDA RD, and 211. Ignore paid 'HUD list' sites.","$1 blight properties still require the ability to finance repairs, pay taxes, and often live in the home for years. Budget accordingly.",N/A,,,,,,,,,,,,,,zero,,,,/images/housing.jpg
